"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"ES(SEP25)";"SELL";"-1100";"-44";"2";"8,28";"6493";"6504";"2025-08-27 14:16:48";"2025-08-27 15:20:29";"1";"11,5";"1150";"35667636804";"35667638904"
"ES(SEP25)";"SELL";"-875";"-35";"2";"8,28";"6457";"6465,75";"2025-08-26 12:58:33";"2025-08-26 13:30:49";"1,1";"9,75";"975";"35666755204";"35666788704"
"ES(SEP25)";"SELL";"475";"19";"2";"8,28";"6458,5";"6453,75";"2025-08-26 12:11:59";"2025-08-26 12:55:03";"1,4";"6,75";"675";"35666721104";"35666754404"
"ES(SEP25)";"SELL";"675";"27";"2";"8,28";"6460,5";"6453,75";"2025-08-26 12:13:01";"2025-08-26 12:55:03";"0,7";"4,75";"475";"35666722804";"35666754404"
"ES(SEP25)";"SELL";"-775";"-31";"2";"8,28";"6453,75";"6461,5";"2025-08-26 10:17:27";"2025-08-26 11:15:14";"1,1";"8,25";"825";"35666589904";"35666669204"
"ES(SEP25)";"SELL";"-150";"-6";"2";"8,28";"6447,5";"6449";"2025-08-26 07:19:42";"2025-08-26 07:25:06";"1,7";"2,5";"250";"35666258904";"35666262304"
"ES(SEP25)";"BUY";"112,5";"9";"1";"4,14";"6449,75";"6452";"2025-08-26 05:07:50";"2025-08-26 05:46:19";"0,2";"0,5";"25";"35666200904";"35666212804"
"ES(SEP25)";"BUY";"112,5";"9";"1";"4,14";"6449,75";"6452";"2025-08-26 05:07:50";"2025-08-26 05:11:00";"0,2";"0,5";"25";"35666200904";"35666201004"
"ES(SEP25)";"BUY";"200";"16";"1";"4,14";"6446,75";"6450,75";"2025-08-26 02:41:56";"2025-08-26 04:36:09";"2";"8";"400";"35666140804";"35666189804"
"ES(SEP25)";"BUY";"187,5";"15";"1";"4,14";"6446,75";"6450,5";"2025-08-26 02:41:56";"2025-08-26 04:36:09";"2,1";"8";"400";"35666140804";"35666189804"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6469,25";"6468,5";"2025-08-25 14:06:29";"2025-08-25 14:07:27";"0";"0";"0";"35665917004";"35665918004"
"ES(SEP25)";"SELL";"300";"12";"2";"8,28";"6474,75";"6471,75";"2025-08-25 12:27:39";"2025-08-25 12:40:10";"1,1";"3,25";"325";"35665752604";"35665768504"
"ES(SEP25)";"BUY";"425";"17";"2";"8,28";"6473";"6477,25";"2025-08-25 08:38:52";"2025-08-25 10:12:16";"1,7";"7,25";"725";"35665385604";"35665614904"
"ES(SEP25)";"BUY";"175";"7";"2";"8,28";"6465,5";"6467,25";"2025-08-25 07:51:00";"2025-08-25 08:34:35";"1";"1,75";"175";"35665320204";"35665369904"
"ES(SEP25)";"BUY";"-425";"-17";"2";"8,28";"6469";"6464,75";"2025-08-25 06:19:32";"2025-08-25 07:05:42";"1";"4,25";"425";"35665237204";"35665261104"
"ES(SEP25)";"SELL";"250";"10";"2";"8,28";"6485,5";"6483";"2025-08-22 14:03:23";"2025-08-22 14:17:25";"0,8";"2";"200";"35664970204";"35664973704"
"ES(SEP25)";"BUY";"875";"35";"2";"8,28";"6484";"6492,75";"2025-08-22 12:09:30";"2025-08-22 12:30:48";"0,1";"1";"100";"35664887004";"35664906304"
"ES(SEP25)";"SELL";"50";"2";"2";"8,28";"6484,5";"6484";"2025-08-22 11:14:37";"2025-08-22 12:09:14";"4,5";"2,25";"225";"35664846804";"35664886904"
"ES(SEP25)";"SELL";"75";"3";"2";"8,28";"6475,25";"6474,5";"2025-08-19 09:10:25";"2025-08-19 09:11:58";"1,3";"1";"100";"35660655304";"35660658704"
"ES(SEP25)";"BUY";"-750";"-30";"2";"8,28";"6474,25";"6466,75";"2025-08-18 09:24:54";"2025-08-18 09:29:00";"1";"7,5";"750";"35659757604";"35659757904"
"ES(SEP25)";"SELL";"-900";"-36";"2";"8,28";"6465,25";"6474,25";"2025-08-18 08:55:22";"2025-08-18 09:24:54";"1,1";"10";"1000";"35659644604";"35659757604"
"ES(SEP25)";"BUY";"-850";"-34";"2";"8,28";"6473,25";"6464,75";"2025-08-18 08:47:22";"2025-08-18 08:51:28";"1,1";"9,5";"950";"35659610704";"35659611104"
"ES(SEP25)";"BUY";"-375";"-15";"2";"8,28";"6466";"6462,25";"2025-08-18 06:06:00";"2025-08-18 06:32:58";"1";"3,75";"375";"35659508904";"35659517504"
"ES(SEP25)";"BUY";"75";"6";"1";"4,14";"6462,25";"6463,75";"2025-08-18 05:27:16";"2025-08-18 06:00:55";"0,8";"1,25";"63";"35659498904";"35659508104"
"ES(SEP25)";"BUY";"62,5";"5";"1";"4,14";"6462,25";"6463,5";"2025-08-18 05:27:16";"2025-08-18 06:00:55";"1";"1,25";"63";"35659498904";"35659508104"
"ES(SEP25)";"SELL";"450";"9";"4";"16,56";"6463,25";"6461";"2025-08-18 04:01:36";"2025-08-18 05:16:22";"0,6";"1,25";"250";"35659443504";"35659495304"
"ES(SEP25)";"BUY";"-550";"-11";"4";"16,56";"6465,75";"6463";"2025-08-18 03:52:10";"2025-08-18 04:01:21";"1,2";"3,25";"650";"35659441704";"35659443404"
"ES(SEP25)";"SELL";"-400";"-16";"2";"8,28";"6461,25";"6465,25";"2025-08-18 03:13:29";"2025-08-18 03:51:58";"1,6";"6,5";"650";"35659427004";"35659441604"
"ES(SEP25)";"BUY";"450";"18";"2";"8,28";"6477,5";"6482";"2025-08-15 10:54:25";"2025-08-15 12:32:56";"2,3";"10,25";"1025";"35659051004";"35659189204"
"ES(SEP25)";"BUY";"350";"14";"2";"8,28";"6478,5";"6482";"2025-08-15 11:50:29";"2025-08-15 12:32:56";"1,3";"4,5";"450";"35659125204";"35659189204"
"ES(SEP25)";"BUY";"-525";"-21";"2";"8,28";"6477,25";"6472";"2025-08-15 10:18:22";"2025-08-15 10:25:23";"1,2";"6,25";"625";"35658969004";"35658983604"
"ES(SEP25)";"SELL";"175";"7";"2";"8,28";"6477,5";"6475,75";"2025-08-15 09:30:28";"2025-08-15 09:34:33";"1,4";"2,5";"250";"35658896204";"35658903904"
"ES(SEP25)";"SELL";"-1162,5";"-31";"3";"12,42";"6480,5";"6488,25";"2025-08-14 13:16:24";"2025-08-14 13:50:28";"1";"7,75";"1163";"35658417704";"35658418104"
"ES(SEP25)";"BUY";"-200";"-8";"2";"8,28";"6485,5";"6483,5";"2025-08-14 13:09:47";"2025-08-14 13:13:28";"1,4";"2,75";"275";"35658408704";"35658412004"
"ES(SEP25)";"SELL";"-1050";"-42";"2";"8,28";"6470";"6480,5";"2025-08-14 11:20:20";"2025-08-14 11:55:03";"1";"10,5";"1050";"35658313204";"35658356704"
"ES(SEP25)";"SELL";"-325";"-13";"2";"8,28";"6472,25";"6475,5";"2025-08-14 10:35:16";"2025-08-14 11:05:28";"3";"9,75";"975";"35658236004";"35658282504"
"ES(SEP25)";"SELL";"675";"27";"2";"8,28";"6478,25";"6471,5";"2025-08-14 10:25:06";"2025-08-14 10:26:46";"0";"0,25";"25";"35658226604";"35658228904"
"ES(SEP25)";"BUY";"400";"16";"2";"8,28";"6481,75";"6485,75";"2025-08-14 09:29:33";"2025-08-14 09:34:22";"0,1";"0,5";"50";"35658147304";"35658154204"
"ES(SEP25)";"BUY";"-62,5";"-5";"1";"4,14";"6480,75";"6479,5";"2025-08-14 09:04:44";"2025-08-14 09:27:55";"3,6";"4,5";"225";"35658103904";"35658145704"
"ES(SEP25)";"BUY";"-75";"-6";"1";"4,14";"6480,75";"6479,25";"2025-08-14 09:04:44";"2025-08-14 09:27:55";"3";"4,5";"225";"35658103904";"35658145704"
"ES(SEP25)";"BUY";"-125";"-5";"2";"8,28";"6479,75";"6478,5";"2025-08-14 08:59:52";"2025-08-14 09:02:12";"1,2";"1,5";"150";"35658093704";"35658099404"
"ES(SEP25)";"BUY";"575";"23";"2";"8,28";"6473";"6478,75";"2025-08-14 08:45:57";"2025-08-14 08:51:14";"0,4";"2,5";"250";"35658070404";"35658080204"
"ES(SEP25)";"BUY";"-725";"-29";"2";"8,28";"6481";"6473,75";"2025-08-13 10:49:35";"2025-08-13 10:57:47";"1,1";"7,75";"775";"35657299204";"35657327904"
