"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-09 07:30:00";"6513,5";"4028";"9493";"937";"-279"
"2025-09-09 07:28:00";"6513,5";"3873";"9493";"937";"-279"
"2025-09-09 07:36:00";"6513,25";"4055";"10234";"-1436";"-264"
"2025-09-09 07:29:00";"6513,25";"4003";"10234";"-1436";"-264"
"2025-09-09 07:12:00";"6513,25";"3692";"10234";"-1436";"-264"
"2025-09-09 06:47:00";"6512,75";"3377";"9718";"266";"180"
"2025-09-09 03:15:00";"6512,5";"2534";"9202";"964";"-180"
"2025-09-08 18:31:00";"6512";"903";"10038";"340";"-398"
"2025-09-09 08:45:00";"6510";"7098";"10150";"-324";"-624"
"2025-09-09 08:33:00";"6510";"4674";"10150";"-324";"-624"
"2025-09-08 18:43:00";"6510";"1018";"10150";"-324";"-624"
"2025-09-08 17:03:00";"6510";"435";"10150";"-324";"-624"
"2025-09-08 21:07:00";"6509,75";"1947";"8186";"300";"476"
"2025-09-08 19:38:00";"6509,75";"1568";"8186";"300";"476"
"2025-09-08 17:05:00";"6509,75";"544";"8186";"300";"476"
"2025-09-08 17:01:00";"6509,75";"260";"8186";"300";"476"
"2025-09-08 20:56:00";"6509,5";"1787";"8374";"194";"518"
"2025-09-08 17:11:00";"6509,5";"705";"8374";"194";"518"
"2025-09-09 08:44:00";"6509,25";"6622";"9159";"481";"601"
"2025-09-09 09:16:00";"6509";"8696";"9545";"213";"715"
"2025-09-08 17:00:00";"6507,75";"142";"11023";"1833";"1087"
"2025-09-09 09:20:00";"6507,25";"8727";"12201";"969";"239"
"2025-09-09 11:40:00";"6507";"11558";"12891";"259";"-537"
"2025-09-09 11:18:00";"6507";"10808";"12891";"259";"-537"
"2025-09-09 11:19:00";"6505";"10912";"11486";"-1870";"-372"
"2025-09-09 11:11:00";"6505";"9974";"11486";"-1870";"-372"
